GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
64802        1    9968486   10055556    281      43  466350     -0.52962      0.70181
84328        1    9972168   10038460    216      48  466085     -0.94066      0.82656
116362       1   10022255   10086078    197      40  469876     -0.62753      0.73484
10277        1   10058041   10251297    689      48  469162     -0.11464      0.54564
23095        1   10235606   10451664    906      39  473632       0.6825      0.24746
5226         1   10423884   10490565    292      42  467202     -0.28826      0.61343
378708       1   10454944   10520239    268      48  467431      -1.0876      0.86162
100526739    1   10455159   10522060    275      50  465785     -0.96826      0.83354
1325         1   10474776   10522060    194      41  466197      -1.2233      0.88938
5195         1   10500003   10700815    732      78  468964     -0.34204      0.63384
1676         1   10510588   10567613    214      40  471667      -1.3638      0.91368
54897        1   10686661   10891733    996     178  465805     -0.82014      0.79393
148345       1   10996530   11077094    406      73  470175      -1.6321      0.94867
23435        1   11037462   11095549    242      56  468660     -0.40105      0.65581
10747        1   11076580   11142296    260      30  468247     -0.23781      0.59399
6723         1   11104649   11155091    203      25  467544     -0.94955      0.82883
5394         1   11116675   11194961    287      17  470277      -0.9756      0.83537
2475         1   11156588   11357614    631      38  468917      -1.6561      0.95115
10218        1   11214346   11266038    171      21  470726      -2.1773      0.98527
29914        1   11298255   11358491    175      37  460807      -1.3891      0.91761
57540        1   11504295   11607640    444      49  469379     -0.44564      0.67207
93611        1   11679432   11733384    236      67  470393   -0.0021052      0.50084
26270        1   11689150   11744411    260      62  465165      0.42567      0.33517
26232        1   11697924   11749888    237      72  465503      0.60144      0.27377
374946       1   11716781   11790336    345      84  463493      0.10023      0.46008
10459        1   11724537   11786678    302      76  462339      0.15818      0.43716
57085        1   11761142   11820828    260      65  469023      -1.1636       0.8777
284498       1   11788827   11859642    384      53  474132       2.0798     0.018773
1185         1   11831153   11913201    549      32  472048       2.0381      0.02077
4524         1   11835787   11901160    434      30  472375       2.0382     0.020767
4878         1   11895766   11942840    291      46  468998       1.0328      0.15085
4879         1   11907521   11953992    283      44  474098     0.092814      0.46303
5351         1   11959724   12045599    478      63  467721     -0.68219      0.75244
90231        1   11969645   12021485    291      43  468434     -0.43086      0.66671
9927         1   12005238   12083572    343      44  464720     -0.13352      0.55311
60672        1   12044299   12102106    229      48  464667      0.68284      0.24735
943          1   12088434   12214264    561     116  467780      0.96655      0.16688
7133         1   12192044   12279279    383      67  470965      0.40518      0.34267
55187        1   12255101   12582099   1093      69  467333     -0.23502       0.5929
9249         1   12617939   12712820    532      93  469229      0.52573      0.29954
343066       1   12669566   12737097    347      57  467824       0.1935      0.42328
126767       1   12741118   12798726    253      59  465758     -0.73442      0.76865
93190        1   12771163   12831102    287      34  466932      -0.4852      0.68623
390999       1   12799984   12848049    210      38  465184     -0.16546      0.56571
65121        1   12816546   12866777    217      47  457544      0.10893      0.45663
440560       1   12874468   12926264    162      54  457820      -0.3048      0.61974
65122        1   12881941   12931764    141      48  456322     0.012583      0.49498
343069       1   12897261   12943578    102      34  451717    -0.072785      0.52901
400735       1   12929033   12981025     26      18  437968  -8.4561e-05      0.50003
441871       1   12941467   12990300     20      14  427091      0.26102      0.39704
343071       1   12942727   12993094     17      12  446578      0.41871      0.33771
440563       1   13172960   13219326     83      18  465588      -2.4969      0.99374
653619       1   13606973   13658987      3       2  469536     -0.56869      0.71522
729528       1   13658269   13708511     12       8  341601      -1.2857      0.90072
391004       1   13681088   13729064     31      17  355873      -1.4532      0.92692
645414       1   13684889   13733405     32      18  347824      -1.4741      0.92978
645425       1   13701907   13757803     41      19  376445      -1.9778      0.97602
126755       1   13791445   13875242    545      92  464998       2.1234     0.016862
10630        1   13875252   13954452    450      98  470921     -0.08176      0.53258
7799         1   13991714   14161574    814      54  469824      0.14995       0.4404
23254        1   14184646   15454544   6947     501  468615       2.0225     0.021564
55092        1   15444028   15556974    795      59  473443     -0.49018        0.688
727684       1   15480692   15533120    333      36  477470      -1.9685      0.97549
114827       1   15538730   15734767   1077     143  470645       1.1914      0.11675
79180        1   15701391   15766839    330      61  466010      0.68831      0.24563
11330        1   15729938   15783153    256      69  457561      0.63015       0.2643
63036        1   15748223   15808586    285      64  464389     -0.25201      0.59948
51032        1   15767596   15827895    300      59  467543      -1.1431      0.87349
842          1   15807896   15886407    368      28  471664      -1.0287      0.84818
23341        1   15818343   15908228    388      29  473299     -0.93773      0.82581
79814        1   15888194   15946605    281      22  476822     -0.54039      0.70554
84301        1   15908953   16005539    391      25  472991     -0.19782      0.57841
6248         1   15951364   15998217    157      22  468179     0.093466      0.46277
23207        1   15975632   16071264    385      38  472075     -0.23412      0.59255
284723       1   16027721   16077884    232      46  472868    -0.092205      0.53673
388595       1   16033987   16084292    231      48  468992     -0.27309      0.60761
54751        1   16048107   16123089    321      63  464745      0.48306      0.31453
440567       1   16123657   16169194    252      23  472065     -0.87518      0.80926
23013        1   16139359   16276951    531      54  461463    -0.044706      0.51783
7709         1   16258364   16337627    376      56  463840    -0.045796      0.51826
101928566    1   16267626   16333701    331      52  467702   -0.0053294      0.50213
149563       1   16295731   16343184    293      41  468881      0.11518      0.45415
1187         1   16313486   16370548    421      45  465976    -0.081549       0.5325
27129        1   16330523   16381084    380      47  464800     -0.23692      0.59364
1188         1   16335231   16393821    421      50  466622      -0.3998      0.65535
348487       1   16374264   16435127    349      39  474404     -0.70596      0.75989
1969         1   16440832   16517582    309      60  463550      -0.6923      0.75562
128272       1   16514599   16574104    236      37  474575      0.74183      0.22909
101927546    1   16541343   16588528    139      31  470229      0.60997      0.27094
79363        1   16548182   16598659    152      33  468922       0.2856      0.38759
54455        1   16563339   16713965    471      44  463528      0.49976      0.30862
26099        1   16658525   16734643    265      35  470917      0.65411      0.25652
374955       1   16712101   16798919    369      65  467648     -0.69294      0.75583
55707        1   16732167   16796585    282      52  467394      -1.1567      0.87629
100133301    1   16830561   16876198    136      42  449782     -0.85849      0.80469
55672        1   16878922   16975100      1       1  443137      0.39533       0.3463
729574       1   16964498   17010007     35      16  447070      0.92297      0.17801
9696         1   17213445   17309474    159      45  456428      0.71281      0.23798
4237         1   17290997   17343081    212      53  457942     0.093224      0.46286
23400        1   17302453   17373467    272      35  463855    -0.019648      0.50784
6390         1   17335217   17415665    433      32  474975     -0.89469      0.81452
11240        1   17383256   17480948    580      58  475303    -0.070375      0.52805
29943        1   17496621   17582501    538      91  469305     0.021469      0.49144
51702        1   17540593   17620728    483      76  472427     -0.15914      0.56322
23569        1   17599690   17700495    686      66  474631     -0.28238      0.61118
353238       1   17663741   17738195    507      56  472996     0.019538      0.49221
55920        1   17723251   17801250    394      51  463683     -0.56578      0.71423
55160        1   17811693   18034370   1063     121  466654      -1.1931      0.88358
81569        1   18046808   18163558    501      76  469328       1.2187      0.11148
84966        1   18399240   18714977   1717     250  467668       -1.511      0.93461
127707       1   18772424   18822540    271      46  473016       1.0687       0.1426
5081         1   18922500   19085360    815     145  464832     -0.92557      0.82266
80834        1   19156093   19221155    481      74  474743       2.0847     0.018549
8659         1   19187924   19264293    495      73  472640       1.5668     0.058584
126917       1   19220774   19317826    491      72  470895      0.36647      0.35701
23352        1   19391000   19571812    617      51  467949      0.23922      0.40547
23065        1   19532158   19613053    400      38  476034      0.88899        0.187
51154        1   19543075   19596622    249      40  477889       1.0631      0.14387
22977        1   19599057   19650280    256      45  473461      0.92108      0.17851
54896        1   19603740   19668925    327      55  473701        1.346     0.089152
8574         1   19619202   19673640    274      45  475013       1.3122     0.094731
832          1   19655267   19847066    991      76  470928       1.2132      0.11252
440574       1   19888471   19966315    368      35  470132       2.1187     0.017059
100532736    1   19888471   19994949    505      52  471754       2.2399     0.012547
4681         1   19934723   19994949    291      48  471802        1.967     0.024593
3362         1   19956780   20016055    292      56  471086       1.8941     0.029106
255104       1   19998706   20161424    869     138  469492       1.1197      0.13143
54546        1   20130522   20176771    263      63  474356       1.2115      0.11286
23252        1   20173356   20249438    337      52  471259       1.3291     0.091912
30814        1   20236800   20285110    244      55  469563      0.57121      0.28393
5320         1   20291924   20341932    248      62  473432       2.2949     0.010868
5322         1   20351157   20428394    361      48  470701       3.0702    0.0010698
26279        1   20429143   20481059    231      89  468823        1.442     0.074657
64600        1   20430823   20486879    246      95  468157       1.7966     0.036203
127733       1   20477578   20532540    198      60  470223       2.5175    0.0059094
391013       1   20480484   20536687    192      58  470191       2.3496    0.0093968
127731       1   20582412   20691662    573      67  469715      0.24789      0.40211
55450        1   20798884   20847728    186      50  467091      0.69748      0.24275
79594        1   20815941   20869674    249      50  469494      0.16173      0.43576
163933       1   20843932   20891513    259      38  473242     -0.11256      0.54481
978          1   20880444   20955401    475      55  477549      -0.1267      0.55041
65018        1   20924948   20988004    338      28  472625     -0.54446      0.70694
1650         1   20968260   21023037    295      73  468900     -0.62576      0.73426
57576        1   20980475   21079317    497     107  471424       1.5639     0.058922
400745       1   21036225   21094133    239      51  477860       3.0567     0.001119
50809        1   21059170   21148808    237      45  471148       3.4304   0.00030131
8672         1   21122785   21538381   1271      60  468770       4.1172   1.9171e-05
1889         1   21533740   21707034    822     104  467306      0.78875      0.21513
84224        1   21731583   21821393    444      59  469288      -0.6006      0.72595
249          1   21800475   21914905    642      77  472596      0.17444      0.43076
5909         1   21912708   22031010    583      98  471953      -0.6746      0.75003
84196        1   21994791   22144688    679      63  471487      0.54411      0.29318
401944       1   22103758   22161714    306      79  468988      0.88045      0.18931
3339         1   22138737   22298750    845      82  469558      0.94886      0.17135
23436        1   22268418   22325847    377      37  476379      0.36531      0.35744
10136        1   22293149   22349035    348      36  474612    -0.042024      0.51676
998          1   22344120   22429439    427      54  469653       1.4788     0.069603
54361        1   22433798   22505474    391      78  473914       1.6719     0.047276
9923         1   22743344   22867650    394      69  464330        1.586     0.056374
2046         1   22855004   22940087    401      94  464714      0.18597      0.42623
712          1   22928118   22976175    251      49  463295     -0.58027      0.71913
714          1   22934969   22984603    247      47  464206     -0.60498       0.7274
713          1   22944682   22998130    232      44  468518      -0.3449      0.63491
2048         1   23002263   23251823   1105     147  463368     -0.17631      0.56997
646262       1   23269536   23334524    257      35  467946     -0.66246      0.74616
23028        1   23310937   23420184    306      44  465315      -1.2996      0.90313
729059       1   23327327   23377343    135      36  464709     -0.68286      0.75265
7798         1   23400516   23539301    482      53  470234     -0.63578      0.73754
3352         1   23508388   23556222    268      28  471342     -0.11263      0.54484
10236        1   23625953   23706143    268      41  460538    -0.074942      0.52987
80818        1   23675941   23731357    229      50  460499     -0.19831       0.5786
6920         1   23697555   23786269    336      58  462749      0.59133      0.27715
55616        1   23745056   23845750    372      41  464876       1.8613     0.031352
1870         1   23822920   23892712    267      54  456407       1.4419     0.074663
3399         1   23874421   23921285    178      52  463958       1.7832     0.037278
6135         1   23983269   24032915    226      51  464734      0.85693      0.19574
6924         1   24034856   24098549    212      53  464443     -0.19534      0.57744
57095        1   24069876   24124722    151      42  460907     -0.18481      0.57331
11313        1   24082275   24132029    136      51  461753       0.3358      0.36851
2582         1   24112089   24162294    131      40  462349       1.0855      0.13885
3155         1   24118367   24200110    256      35  468824       1.4318     0.076095
2517         1   24161567   24229859    356      30  473457       1.8098     0.035167
1269         1   24187005   24320549    397      37  464879       2.2316     0.012822
55629        1   24251301   24299952     37      17  424012       3.7664   8.2803e-05
10772        1   24282935   24341953     40      13  436423       4.2275   1.1815e-05
127294       1   24372531   24473665    540      73  470823       1.9838     0.023638
58985        1   24436261   24504783    365      58  469111     -0.13448      0.55349
163702       1   24470647   24548765    404      82  471216     -0.58539      0.72086
57822        1   24610812   24700972    415      77  467075       1.8421     0.032734
90529        1   24673489   24776587    485      51  470103      0.55295      0.29015
57185        1   24707245   24809473    479      54  468327      0.66997      0.25144
11123        1   24793841   24873510    327      53  467760       1.6434     0.050146
400746       1   24847567   24945819    526      70  473884     -0.56242      0.71309
10250        1   24934594   25009772    197      54  469758     0.081985      0.46733
25932        1   25036760   25180815    375      73  462149      0.91426      0.18029
864          1   25216002   25326648    548      93  462762       1.9362     0.026422
25949        1   25538767   25594013    194      38  451208     -0.36134      0.64108
57035        1   25558740   25609010    127      33  448900     -0.11963      0.54761
6007         1   25563884   25666936    113      32  448699     0.056433       0.4775
23585        1   25629789   25698852     95      29  446256       -0.626      0.73434
6006         1   25677853   25782363    344      42  457824     -0.40095      0.65577
55219        1   25722388   25836700    394      38  463339     -0.30402      0.61944
26119        1   25835071   25905377    311      56  462884     -0.12034      0.54789
57134        1   25908959   26121258    853      87  460531      0.16064      0.43619
57190        1   26091667   26154713    260      49  460675        1.413     0.078825
56181        1   26111397   26169433    242      39  460586       1.2127      0.11262
79000        1   26148414   26220939    248      34  457800       2.0254     0.021411
164091       1   26177975   26237461    177      35  452444       2.8243    0.0023694
3925         1   26200670   26268368    218      43  457675       2.5487    0.0054065
5051         1   26276258   26361366    314      46  460320      -0.1118      0.54451
2134         1   26313266   26372955    225      54  452021     -0.42368       0.6641
7780         1   26354513   26408439    236      46  460929      -1.0704      0.85778
84676        1   26367792   26429142    279      35  460308       -1.326      0.90758
149420       1   26402656   26462039    236      28  464048     -0.63873       0.7385
79927        1   26450511   26499119    223      54  464806      -0.3635      0.64189
51042        1   26461388   26507364    227      57  465508     -0.56848      0.71515
10256        1   26468981   26526375    288      48  466045     -0.11449      0.54558
378807       1   26482119   26539033    290      42  461951      0.24049      0.40498
64793        1   26525644   26615529    452      36  457795       0.5683      0.28491
83442        1   26571213   26618013    220      33  457263      0.56306       0.2867
91544        1   26598773   26679756    383      44  457684     -0.17748      0.57043
1043         1   26609411   26657014    235      34  459733      0.13758      0.44529
55057        1   26638350   26715621    392      53  452078     0.039337      0.48431
257101       1   26678125   26736023    310      61  455964      0.55125      0.29073
79727        1   26702269   26766219    275      49  455634       1.2801      0.10026
79947        1   26723773   26807797    313      58  469143       1.1695       0.1211
3151         1   26763902   26813133    178      52  466343       1.4864     0.068584
6195         1   26821249   26911520    323      52  464996       1.3064     0.095706
8289         1   26987522   27118601    316      45  461622       1.1488      0.12531
101928728    1   27008623   27057896    124      28  457571       1.0453      0.14794
55650        1   27078739   27134894    127      41  464164      0.89192      0.18622
84243        1   27118201   27194092    198      53  465375       1.5816     0.056865
2810         1   27154633   27200947    132      41  464340       1.5837      0.05663
54707        1   27195872   27251869    145      37  452445       1.9647     0.024722
63906        1   27206979   27261962    144      38  452836       1.9316     0.026703
10726        1   27213187   27283362    197      50  447838       1.7109      0.04355
8431         1   27227975   27275567    143      43  447321       1.8066     0.035411
126695       1   27266047   27321901    180      36  457974       1.2303      0.10929
388610       1   27285189   27337377    159      36  463826       1.2378       0.1079
115572       1   27321511   27374333    179      39  462096      0.22859      0.40959
6548         1   27415300   27516621    335      57  463006     -0.59965      0.72563
23038        1   27526007   27645124    339      48  459596      0.12129      0.45173
84065        1   27613636   27672891    183      54  466694      0.37748      0.35291
84958        1   27633483   27690423    206      59  472895      0.27651      0.39108
9064         1   27671670   27728558    164      65  468697    -0.029549      0.51179
2827         1   27684148   27732318    137      59  466694      0.59633      0.27548
8547         1   27685601   27736315    141      60  466102      0.51175      0.30441
388611       1   27695596   27744823    141      54  464770      0.38278      0.35094
10163        1   27720734   27851678    406      58  464277       1.2702        0.102
27245        1   27850756   27965463    336      71  456213      -0.5227      0.69941
2268         1   27928800   27996727    258      55  461684    -0.035734      0.51425
2537         1   27982572   28033724    194      31  464320      0.77689      0.21861
199870       1   28017490   28099426    267      25  463887      0.24955      0.40147
23673        1   28064694   28160963    286      35  456770      0.23209      0.40823
5511         1   28122252   28188183    193      44  449875       0.4263      0.33494
9473         1   28164055   28223196    224      60  460426       2.0363      0.02086
6118         1   28208035   28276255    344      36  467652       1.6221     0.052388
27293        1   28226456   28295663    351      44  470516       1.1755       0.1199
55113        1   28251504   28304604    254      48  471495      0.59748      0.27509
2140         1   28286855   28450173    627      66  469920     -0.32271      0.62654
5724         1   28463677   28555447    292      69  462230       1.1445       0.1262
22826        1   28516789   28594542    320      32  473226       2.1019     0.017783
93974        1   28527602   28574616    181      23  477567       1.5799      0.05706
83667        1   28550963   28619002    271      39  472982       2.6445    0.0040911
54797        1   28620513   28672478    170      56  464985       2.8497    0.0021878
65979        1   28661093   28836881    718      31  468258        3.254   0.00056894
1104         1   28797455   28875708    294      42  463644        3.499   0.00023354
54952        1   28844529   28915057    217      49  460311       3.3609   0.00038851
115273       1   28883712   28931098    144      49  463404       2.6193    0.0044054
6883         1   28919608   29010416    319      58  457951       1.7309     0.041734
10691        1   28960234   29052115    319      59  464920       1.4124     0.078916
51441        1   29028133   29106287    247      54  467869      0.49465      0.31042
4985         1   29103654   29200208    468      60  469672     -0.21971      0.58695
2035         1   29178603   29456558   1021      72  462846       1.5085     0.065712
399474       1   29435937   29485421    214      55  462636       1.1254       0.1302
6429         1   29464250   29543637    301      55  467976      0.82956      0.20339
51102        1   29509385   29592460    329      44  468176      0.65618      0.25585
10076        1   29528028   29663325    549      75  469640    -0.087776      0.53497
4146         1   31174124   31231432    313      63  466313       2.5917    0.0047757
7805         1   31195315   31265683    355      77  464829       2.7109    0.0033548
9672         1   31332313   31416480    379     101  466000      0.38785      0.34906
9698         1   31394353   31573838    706      59  466407      0.15067      0.44012
79570        1   31642592   31747734    504      38  470641        1.745     0.040488
9410         1   31722415   31804644    316      30  471381       1.0979      0.13613
51538        1   31734832   31848569    417      35  469403       1.2428      0.10697
2170         1   31828100   31880923    212      28  473899       1.5443      0.06126
347735       1   31847412   31917527    331      33  476687       1.6472     0.049755
64129        1   32007086   32063290    232      56  472662      0.83487      0.20189
3061         1   32048290   32103214    157      34  465463      0.85449      0.19642
553115       1   32085463   32145838    199      38  465502      0.64638      0.25902
1307         1   32107848   32204768    364      78  461991        1.291      0.09835
576          1   32182718   32265494    297      31  464388      0.82325      0.20518
90853        1   32246023   32316630    286      49  471540      0.93245      0.17555
8073         1   32362022   32438988    298      41  462334     -0.43195      0.66711
10657        1   32444295   32536460    228      66  460909      0.71753      0.23652
55116        1   32503503   32578467    181      60  463027       1.1289      0.12948
23633        1   32538644   32652169    281      46  465445      0.81838      0.20657
200081       1   32610293   32673886    161      51  463910      0.73711      0.23053
79140        1   32631202   32680991    145      49  464749      0.73768      0.23035
55721        1   32636236   32684288    146      53  465209       0.7225      0.23499
149069       1   32639695   32691797    158      52  465968      0.69319      0.24409
8668         1   32652971   32707205    167      42  470158      0.77097      0.22036
56063        1   32670040   32722954    172      44  470267      0.20117      0.42028
84734        1   32677818   32724461    146      37  471690      0.24391      0.40365
3932         1   32681840   32761766    230      63  469319     -0.41643      0.66145
3065         1   32722708   32809227    229      54  459238       -1.724      0.95765
81629        1   32783365   32840098    140      48  451684      -0.1323      0.55263
65108        1   32789430   32836840    118      44  450848     -0.17994       0.5714
100128071    1   32816871   32862844    114      42  453825      0.27722       0.3908
55108        1   32820704   32895062    198      61  454810    -0.077824      0.53102
728116       1   32895658   32963460    285      36  457260       1.3898     0.082301
653121       1   32969772   33081542    470      44  465063      0.44387      0.32857
339487       1   33076421   33151565    338      28  466506       1.3102     0.095068
5928         1   33081749   33161812    375      28  467361       1.2762      0.10094
81493        1   33135507   33203361    275      32  466768       1.2293      0.10948
57648        1   33172492   33250571    248      59  463817       1.0354      0.15024
8565         1   33230840   33318633    271      41  466792     -0.23103      0.59135
64766        1   33247368   33334480    252      39  465812     -0.42937      0.66617
3208         1   33316688   33370247    160      58  456670     -0.31232       0.6226
252995       1   33317869   33373093    164      61  457152     -0.38727      0.65072
113452       1   33350196   33402041    146      42  470468      0.30759       0.3792
127544       1   33392050   33465467    238      51  472308       1.3973     0.081166
204          1   33463541   33537512    216      44  461818      0.60322      0.27318
113451       1   33511711   33596132    262      45  461746      0.91114      0.18111
55223        1   33601000   33682671    295      31  464800       1.4272     0.076756
149076       1   33686908   33776321    278      44  466857       0.7521      0.22599
127550       1   33762367   33821699    237      50  466491      0.09405      0.46253
1912         1   33779224   33876194    360      44  466556      0.31157      0.37768
7579         1   33903232   33972105    278      52  465515      0.65507      0.25621
114784       1   33969609   34666443   3190     321  467303      0.57491      0.28268
127540       1   34291076   34340392    240      33  470707     -0.51009      0.69501
84970        1   34597624   34694732    544      99  470684       1.9774     0.023997
2709         1   35185648   35234113    242      70  473345       2.3616    0.0090989
127534       1   35190342   35239325    248      66  473515        2.815    0.0024391
2707         1   35211790   35261967    275      46  470543       3.0865    0.0010127
2701         1   35223559   35271351    280      47  468695       2.9641    0.0015177
113444       1   35305963   35360417    169      63  466013      0.75155      0.22616
58512        1   35321037   35426083    277      92  459556       1.0161       0.1548
100506144    1   35437127   35485948    163      28  461575     -0.43606       0.6686
